date,state,name,poll
2024/10/15,Michigan,Mike Rogers,44
2024/10/16,Michigan,Mike Rogers,44
2024/10/17,Michigan,Mike Rogers,44
2024/10/18,Michigan,Mike Rogers,43
2024/10/19,Michigan,Mike Rogers,43
2024/10/20,Michigan,Mike Rogers,44
2024/10/21,Michigan,Mike Rogers,44
2024/10/22,Michigan,Mike Rogers,44
2024/10/23,Michigan,Mike Rogers,44
2024/10/24,Michigan,Mike Rogers,44
2024/10/25,Michigan,Mike Rogers,44
2024/10/26,Michigan,Mike Rogers,44
2024/10/27,Michigan,Mike Rogers,44
2024/10/28,Michigan,Mike Rogers,45
2024/10/29,Michigan,Mike Rogers,45
2024/10/30,Michigan,Mike Rogers,45
2024/10/31,Michigan,Mike Rogers,45
2024/11/1,Michigan,Mike Rogers,45
2024/11/2,Michigan,Mike Rogers,45
2024/11/3,Michigan,Mike Rogers,45
2024/11/4,Michigan,Mike Rogers,45
2024/10/1,Arizona,Ruben Gallego,51
2024/10/2,Arizona,Ruben Gallego,51
2024/10/3,Arizona,Ruben Gallego,51
2024/10/4,Arizona,Ruben Gallego,51
2024/10/5,Arizona,Ruben Gallego,51
2024/10/6,Arizona,Ruben Gallego,51
2024/10/7,Arizona,Ruben Gallego,51
2024/10/8,Arizona,Ruben Gallego,51
2024/10/9,Arizona,Ruben Gallego,51
2024/10/10,Arizona,Ruben Gallego,50
2024/10/11,Arizona,Ruben Gallego,50
2024/10/12,Arizona,Ruben Gallego,50
2024/10/13,Arizona,Ruben Gallego,50
2024/10/14,Arizona,Ruben Gallego,50
2024/10/15,Arizona,Ruben Gallego,50
2024/10/16,Arizona,Ruben Gallego,50
2024/10/17,Arizona,Ruben Gallego,50
2024/10/18,Arizona,Ruben Gallego,50
2024/10/19,Arizona,Ruben Gallego,50
2024/10/20,Arizona,Ruben Gallego,50
2024/10/21,Arizona,Ruben Gallego,50
2024/10/22,Arizona,Ruben Gallego,50
2024/10/23,Arizona,Ruben Gallego,50
2024/10/24,Arizona,Ruben Gallego,51
2024/10/25,Arizona,Ruben Gallego,51
2024/10/26,Arizona,Ruben Gallego,51
2024/10/27,Arizona,Ruben Gallego,51
2024/10/28,Arizona,Ruben Gallego,51
2024/10/29,Arizona,Ruben Gallego,49
2024/10/30,Arizona,Ruben Gallego,49
2024/10/31,Arizona,Ruben Gallego,49
2024/11/1,Arizona,Ruben Gallego,49
2024/11/2,Arizona,Ruben Gallego,49
2024/11/3,Arizona,Ruben Gallego,49
2024/11/4,Arizona,Ruben Gallego,49
2024/10/1,Arizona,Kari Lake,42
2024/10/2,Arizona,Kari Lake,42
2024/10/3,Arizona,Kari Lake,42
2024/10/4,Arizona,Kari Lake,42
2024/10/5,Arizona,Kari Lake,42
2024/10/6,Arizona,Kari Lake,42
2024/10/7,Arizona,Kari Lake,42
2024/10/8,Arizona,Kari Lake,42
2024/10/9,Arizona,Kari Lake,42
2024/10/10,Arizona,Kari Lake,42
2024/10/11,Arizona,Kari Lake,42
2024/10/12,Arizona,Kari Lake,42
2024/10/13,Arizona,Kari Lake,42
2024/10/14,Arizona,Kari Lake,42
2024/10/15,Arizona,Kari Lake,42
2024/10/16,Arizona,Kari Lake,42
2024/10/17,Arizona,Kari Lake,42
2024/10/18,Arizona,Kari Lake,42
2024/10/19,Arizona,Kari Lake,42
2024/10/20,Arizona,Kari Lake,43
2024/10/21,Arizona,Kari Lake,43
2024/10/22,Arizona,Kari Lake,43
2024/10/23,Arizona,Kari Lake,43
2024/10/24,Arizona,Kari Lake,43
2024/10/25,Arizona,Kari Lake,43
2024/10/26,Arizona,Kari Lake,43
2024/10/27,Arizona,Kari Lake,43
2024/10/28,Arizona,Kari Lake,43
2024/10/29,Arizona,Kari Lake,44
2024/10/30,Arizona,Kari Lake,44
2024/10/31,Arizona,Kari Lake,44
2024/11/1,Arizona,Kari Lake,45
2024/11/2,Arizona,Kari Lake,45
2024/11/3,Arizona,Kari Lake,45
2024/11/4,Arizona,Kari Lake,45
2024/10/1,Ohio,Sherrod Brown,46
2024/10/2,Ohio,Sherrod Brown,46
2024/10/3,Ohio,Sherrod Brown,47
2024/10/4,Ohio,Sherrod Brown,47
2024/10/5,Ohio,Sherrod Brown,47
2024/10/6,Ohio,Sherrod Brown,47
2024/10/7,Ohio,Sherrod Brown,47
2024/10/8,Ohio,Sherrod Brown,46
2024/10/9,Ohio,Sherrod Brown,46
2024/10/10,Ohio,Sherrod Brown,48
2024/10/11,Ohio,Sherrod Brown,48
2024/10/12,Ohio,Sherrod Brown,48
2024/10/13,Ohio,Sherrod Brown,48
2024/10/14,Ohio,Sherrod Brown,48
2024/10/15,Ohio,Sherrod Brown,48
2024/10/16,Ohio,Sherrod Brown,48
2024/10/17,Ohio,Sherrod Brown,48
2024/10/18,Ohio,Sherrod Brown,48
2024/10/19,Ohio,Sherrod Brown,48
2024/10/20,Ohio,Sherrod Brown,48
2024/10/21,Ohio,Sherrod Brown,48
2024/10/22,Ohio,Sherrod Brown,48
2024/10/23,Ohio,Sherrod Brown,48
2024/10/24,Ohio,Sherrod Brown,48
2024/10/25,Ohio,Sherrod Brown,48
2024/10/26,Ohio,Sherrod Brown,48
2024/10/27,Ohio,Sherrod Brown,48
2024/10/28,Ohio,Sherrod Brown,48
2024/10/29,Ohio,Sherrod Brown,48
2024/10/30,Ohio,Sherrod Brown,48
2024/10/31,Ohio,Sherrod Brown,48
2024/11/1,Ohio,Sherrod Brown,48
2024/11/2,Ohio,Sherrod Brown,48
2024/11/3,Ohio,Sherrod Brown,48
2024/11/4,Ohio,Sherrod Brown,47
2024/10/1,Ohio,Bernie Moreno,43
2024/10/2,Ohio,Bernie Moreno,43
2024/10/3,Ohio,Bernie Moreno,44
2024/10/4,Ohio,Bernie Moreno,44
2024/10/5,Ohio,Bernie Moreno,44
2024/10/6,Ohio,Bernie Moreno,43
2024/10/7,Ohio,Bernie Moreno,43
2024/10/8,Ohio,Bernie Moreno,43
2024/10/9,Ohio,Bernie Moreno,43
2024/10/10,Ohio,Bernie Moreno,45
2024/10/11,Ohio,Bernie Moreno,45
2024/10/12,Ohio,Bernie Moreno,45
2024/10/13,Ohio,Bernie Moreno,45
2024/10/14,Ohio,Bernie Moreno,45
2024/10/15,Ohio,Bernie Moreno,45
2024/10/16,Ohio,Bernie Moreno,45
2024/10/17,Ohio,Bernie Moreno,45
2024/10/18,Ohio,Bernie Moreno,45
2024/10/19,Ohio,Bernie Moreno,45
2024/10/20,Ohio,Bernie Moreno,45
2024/10/21,Ohio,Bernie Moreno,45
2024/10/22,Ohio,Bernie Moreno,45
2024/10/23,Ohio,Bernie Moreno,45
2024/10/24,Ohio,Bernie Moreno,46
2024/10/25,Ohio,Bernie Moreno,46
2024/10/26,Ohio,Bernie Moreno,46
2024/10/27,Ohio,Bernie Moreno,46
2024/10/28,Ohio,Bernie Moreno,46
2024/10/29,Ohio,Bernie Moreno,46
2024/10/30,Ohio,Bernie Moreno,46
2024/10/31,Ohio,Bernie Moreno,46
2024/11/1,Ohio,Bernie Moreno,46
2024/11/2,Ohio,Bernie Moreno,46
2024/11/3,Ohio,Bernie Moreno,46
2024/11/4,Ohio,Bernie Moreno,47
2024/10/1,Pennsylvania,Bob Casey,48
2024/10/2,Pennsylvania,Bob Casey,49
2024/10/3,Pennsylvania,Bob Casey,49
2024/10/4,Pennsylvania,Bob Casey,49
2024/10/5,Pennsylvania,Bob Casey,49
2024/10/6,Pennsylvania,Bob Casey,49
2024/10/7,Pennsylvania,Bob Casey,49
2024/10/8,Pennsylvania,Bob Casey,49
2024/10/9,Pennsylvania,Bob Casey,49
2024/10/10,Pennsylvania,Bob Casey,49
2024/10/11,Pennsylvania,Bob Casey,49
2024/10/12,Pennsylvania,Bob Casey,49
2024/10/13,Pennsylvania,Bob Casey,49
2024/10/14,Pennsylvania,Bob Casey,49
2024/10/15,Pennsylvania,Bob Casey,49
2024/10/16,Pennsylvania,Bob Casey,49
2024/10/17,Pennsylvania,Bob Casey,49
2024/10/18,Pennsylvania,Bob Casey,49
2024/10/19,Pennsylvania,Bob Casey,49
2024/10/20,Pennsylvania,Bob Casey,48
2024/10/21,Pennsylvania,Bob Casey,48
2024/10/22,Pennsylvania,Bob Casey,48
2024/10/23,Pennsylvania,Bob Casey,48
2024/10/24,Pennsylvania,Bob Casey,48
2024/10/25,Pennsylvania,Bob Casey,48
2024/10/26,Pennsylvania,Bob Casey,48
2024/10/27,Pennsylvania,Bob Casey,48
2024/10/28,Pennsylvania,Bob Casey,48
2024/10/29,Pennsylvania,Bob Casey,48
2024/10/30,Pennsylvania,Bob Casey,48
2024/10/31,Pennsylvania,Bob Casey,48
2024/11/1,Pennsylvania,Bob Casey,48
2024/11/2,Pennsylvania,Bob Casey,48
2024/11/3,Pennsylvania,Bob Casey,49
2024/11/4,Pennsylvania,Bob Casey,49
2024/10/1,Pennsylvania,Dave McCormick,44
2024/10/2,Pennsylvania,Dave McCormick,44
2024/10/3,Pennsylvania,Dave McCormick,44
2024/10/4,Pennsylvania,Dave McCormick,44
2024/10/5,Pennsylvania,Dave McCormick,44
2024/10/6,Pennsylvania,Dave McCormick,44
2024/10/7,Pennsylvania,Dave McCormick,44
2024/10/8,Pennsylvania,Dave McCormick,44
2024/10/9,Pennsylvania,Dave McCormick,44
2024/10/10,Pennsylvania,Dave McCormick,44
2024/10/11,Pennsylvania,Dave McCormick,44
2024/10/12,Pennsylvania,Dave McCormick,44
2024/10/13,Pennsylvania,Dave McCormick,44
2024/10/14,Pennsylvania,Dave McCormick,44
2024/10/15,Pennsylvania,Dave McCormick,44
2024/10/16,Pennsylvania,Dave McCormick,44
2024/10/17,Pennsylvania,Dave McCormick,44
2024/10/18,Pennsylvania,Dave McCormick,44
2024/10/19,Pennsylvania,Dave McCormick,44
2024/10/20,Pennsylvania,Dave McCormick,44
2024/10/21,Pennsylvania,Dave McCormick,45
2024/10/22,Pennsylvania,Dave McCormick,44
2024/10/23,Pennsylvania,Dave McCormick,44
2024/10/24,Pennsylvania,Dave McCormick,44
2024/10/25,Pennsylvania,Dave McCormick,44
2024/10/26,Pennsylvania,Dave McCormick,44
2024/10/27,Pennsylvania,Dave McCormick,44
2024/10/28,Pennsylvania,Dave McCormick,44
2024/10/29,Pennsylvania,Dave McCormick,45
2024/10/30,Pennsylvania,Dave McCormick,45
2024/10/31,Pennsylvania,Dave McCormick,45
2024/11/1,Pennsylvania,Dave McCormick,46
2024/11/2,Pennsylvania,Dave McCormick,46
2024/11/3,Pennsylvania,Dave McCormick,46
2024/11/4,Pennsylvania,Dave McCormick,45
2024/10/1,Texas,Ted Cruz,48
2024/10/2,Texas,Ted Cruz,48
2024/10/3,Texas,Ted Cruz,48
2024/10/4,Texas,Ted Cruz,48
2024/10/5,Texas,Ted Cruz,48
2024/10/6,Texas,Ted Cruz,48
2024/10/7,Texas,Ted Cruz,48
2024/10/8,Texas,Ted Cruz,48
2024/10/9,Texas,Ted Cruz,48
2024/10/10,Texas,Ted Cruz,49
2024/10/11,Texas,Ted Cruz,49
2024/10/12,Texas,Ted Cruz,49
2024/10/13,Texas,Ted Cruz,49
2024/10/14,Texas,Ted Cruz,49
2024/10/15,Texas,Ted Cruz,49
2024/10/16,Texas,Ted Cruz,49
2024/10/17,Texas,Ted Cruz,49
2024/10/18,Texas,Ted Cruz,49
2024/10/19,Texas,Ted Cruz,49
2024/10/20,Texas,Ted Cruz,49
2024/10/21,Texas,Ted Cruz,49
2024/10/22,Texas,Ted Cruz,49
2024/10/23,Texas,Ted Cruz,48
2024/10/24,Texas,Ted Cruz,48
2024/10/25,Texas,Ted Cruz,48
2024/10/26,Texas,Ted Cruz,48
2024/10/27,Texas,Ted Cruz,48
2024/10/28,Texas,Ted Cruz,49
2024/10/29,Texas,Ted Cruz,49
2024/10/30,Texas,Ted Cruz,49
2024/10/31,Texas,Ted Cruz,49
2024/11/1,Texas,Ted Cruz,49
2024/11/2,Texas,Ted Cruz,49
2024/11/3,Texas,Ted Cruz,49
2024/11/4,Texas,Ted Cruz,50
2024/10/1,Texas,Colin Allred,43
2024/10/2,Texas,Colin Allred,43
2024/10/3,Texas,Colin Allred,43
2024/10/4,Texas,Colin Allred,43
2024/10/5,Texas,Colin Allred,43
2024/10/6,Texas,Colin Allred,43
2024/10/7,Texas,Colin Allred,43
2024/10/8,Texas,Colin Allred,43
2024/10/9,Texas,Colin Allred,43
2024/10/10,Texas,Colin Allred,44
2024/10/11,Texas,Colin Allred,44
2024/10/12,Texas,Colin Allred,44
2024/10/13,Texas,Colin Allred,44
2024/10/14,Texas,Colin Allred,44
2024/10/15,Texas,Colin Allred,44
2024/10/16,Texas,Colin Allred,44
2024/10/17,Texas,Colin Allred,44
2024/10/18,Texas,Colin Allred,44
2024/10/19,Texas,Colin Allred,44
2024/10/20,Texas,Colin Allred,44
2024/10/21,Texas,Colin Allred,44
2024/10/22,Texas,Colin Allred,44
2024/10/23,Texas,Colin Allred,44
2024/10/24,Texas,Colin Allred,44
2024/10/25,Texas,Colin Allred,44
2024/10/26,Texas,Colin Allred,44
2024/10/27,Texas,Colin Allred,44
2024/10/28,Texas,Colin Allred,45
2024/10/29,Texas,Colin Allred,45
2024/10/30,Texas,Colin Allred,45
2024/10/31,Texas,Colin Allred,45
2024/11/1,Texas,Colin Allred,45
2024/11/2,Texas,Colin Allred,45
2024/11/3,Texas,Colin Allred,45
2024/11/4,Texas,Colin Allred,45
2024/10/1,Wisconsin,Tammy Baldwin,50
2024/10/2,Wisconsin,Tammy Baldwin,50
2024/10/3,Wisconsin,Tammy Baldwin,50
2024/10/4,Wisconsin,Tammy Baldwin,50
2024/10/5,Wisconsin,Tammy Baldwin,50
2024/10/6,Wisconsin,Tammy Baldwin,50
2024/10/7,Wisconsin,Tammy Baldwin,50
2024/10/8,Wisconsin,Tammy Baldwin,51
2024/10/9,Wisconsin,Tammy Baldwin,51
2024/10/10,Wisconsin,Tammy Baldwin,51
2024/10/11,Wisconsin,Tammy Baldwin,51
2024/10/12,Wisconsin,Tammy Baldwin,51
2024/10/13,Wisconsin,Tammy Baldwin,51
2024/10/14,Wisconsin,Tammy Baldwin,51
2024/10/15,Wisconsin,Tammy Baldwin,50
2024/10/16,Wisconsin,Tammy Baldwin,50
2024/10/17,Wisconsin,Tammy Baldwin,50
2024/10/18,Wisconsin,Tammy Baldwin,50
2024/10/19,Wisconsin,Tammy Baldwin,50
2024/10/20,Wisconsin,Tammy Baldwin,50
2024/10/21,Wisconsin,Tammy Baldwin,50
2024/10/22,Wisconsin,Tammy Baldwin,50
2024/10/23,Wisconsin,Tammy Baldwin,50
2024/10/24,Wisconsin,Tammy Baldwin,49
2024/10/25,Wisconsin,Tammy Baldwin,49
2024/10/26,Wisconsin,Tammy Baldwin,49
2024/10/27,Wisconsin,Tammy Baldwin,49
2024/10/28,Wisconsin,Tammy Baldwin,49
2024/10/29,Wisconsin,Tammy Baldwin,49
2024/10/30,Wisconsin,Tammy Baldwin,49
2024/10/31,Wisconsin,Tammy Baldwin,49
2024/11/1,Wisconsin,Tammy Baldwin,49
2024/11/2,Wisconsin,Tammy Baldwin,49
2024/11/3,Wisconsin,Tammy Baldwin,49
2024/11/4,Wisconsin,Tammy Baldwin,49
2024/10/1,Wisconsin,Eric Hovde,45
2024/10/2,Wisconsin,Eric Hovde,45
2024/10/3,Wisconsin,Eric Hovde,45
2024/10/4,Wisconsin,Eric Hovde,45
2024/10/5,Wisconsin,Eric Hovde,45
2024/10/6,Wisconsin,Eric Hovde,45
2024/10/7,Wisconsin,Eric Hovde,45
2024/10/8,Wisconsin,Eric Hovde,45
2024/10/9,Wisconsin,Eric Hovde,45
2024/10/10,Wisconsin,Eric Hovde,45
2024/10/11,Wisconsin,Eric Hovde,45
2024/10/12,Wisconsin,Eric Hovde,45
2024/10/13,Wisconsin,Eric Hovde,45
2024/10/14,Wisconsin,Eric Hovde,45
2024/10/15,Wisconsin,Eric Hovde,46
2024/10/16,Wisconsin,Eric Hovde,46
2024/10/17,Wisconsin,Eric Hovde,46
2024/10/18,Wisconsin,Eric Hovde,46
2024/10/19,Wisconsin,Eric Hovde,46
2024/10/20,Wisconsin,Eric Hovde,46
2024/10/21,Wisconsin,Eric Hovde,46
2024/10/22,Wisconsin,Eric Hovde,46
2024/10/23,Wisconsin,Eric Hovde,46
2024/10/24,Wisconsin,Eric Hovde,46
2024/10/25,Wisconsin,Eric Hovde,46
2024/10/26,Wisconsin,Eric Hovde,46
2024/10/27,Wisconsin,Eric Hovde,46
2024/10/28,Wisconsin,Eric Hovde,46
2024/10/29,Wisconsin,Eric Hovde,47
2024/10/30,Wisconsin,Eric Hovde,47
2024/10/31,Wisconsin,Eric Hovde,47
2024/11/1,Wisconsin,Eric Hovde,47
2024/11/2,Wisconsin,Eric Hovde,47
2024/11/3,Wisconsin,Eric Hovde,47
2024/11/4,Wisconsin,Eric Hovde,47
